tree_name	euk_clade_rep	euk_clade_size	euk_scope_len
CEM35029.1	EP00445P095245	23	6
CEM35029.1	EP00445P095245	23	6
CEM35029.1	EP00445P095245	23	6
CEM35029.1	EP00445P095245	23	6
CEM35029.1	EP00445P095245	23	6
CEM35029.1	EP00445P095245	23	6
CEM35029.1	EP00445P095245	23	6
CEM35029.1	EP00445P095245	23	6
CEM35029.1	EP00445P095245	23	6
CEM35029.1	EP00548P002708	9	5
CEM35029.1	EP00548P002708	9	5
CEM35029.1	EP00548P002708	9	5
CEM35029.1	EP00548P002708	9	5
CEM35029.1	EP00548P002708	9	5
CEM35029.1	EP00548P002708	9	5
CEM35029.1	EP00548P002708	9	5
CEM35029.1	EP00548P002708	9	5
CEM35029.1	EP00548P002708	9	5
CEM35029.1	EP00548P002708	9	5
CEM35029.1	EP00548P002708	9	5
CEM35029.1	EP00548P002708	9	5
CEM35029.1	EP01134P004001	6	2
CEM35029.1	EP01134P004001	6	2
CEM35029.1	EP01134P004001	6	2
CEM35029.1	EP01134P004001	6	2
CEM35029.1	EP01134P004001	6	2
CEM35029.1	EP01134P004001	6	2
CEM35029.1	EP01134P004001	6	2
CEM35029.1	EP01134P004001	6	2
CEM35029.1	EP01134P004001	6	2
CEM35029.1	EP01134P004001	6	2
CEM35029.1	EP01134P004001	6	2
CEM35029.1	EP01134P004001	6	2
CEO97164.1	EP00515P017433	9	2
CEO97164.1	EP00222P002862	12	5
CEO97254.1	EP00021P004021	20	9
CEO97254.1	EP00021P004021	20	9
CEO97254.1	EP00021P004021	20	9
CEO97254.1	EP00021P004021	20	9
CEO97254.1	EP00021P004021	20	9
CEO97254.1	EP00021P004021	20	9
CEO97254.1	EP00021P004021	20	9
CEO97254.1	EP00021P004021	20	9
CEO97254.1	EP00021P004021	20	9
CEO97254.1	EP00021P004021	20	9
CEO97254.1	EP00021P004021	20	9
CEO97254.1	EP00021P004021	20	9
CEO97495.1	EP00873P004643	61	7
CEO97495.1	EP01047P066888	10	5
CEO97495.1	EP00327P019750	18	9
CEO98890.1	EP01119P025580	7	5
CEO98890.1	EP01119P025580	7	5
CEO98890.1	EP01119P025580	7	5
CEO98890.1	EP01119P025580	7	5
CEO99264.1	EP01113P051104	10	6
CEO99264.1	EP01113P051104	10	6
CEO99264.1	EP01113P051104	10	6
CEO99264.1	EP01113P051104	10	6
CEO99264.1	EP01113P051104	10	6
CEO99264.1	EP01113P051104	10	6
CEO99264.1	EP01113P051104	10	6
CEO99264.1	EP01113P051104	10	6
CEO99264.1	EP01113P051104	10	6
CEO99264.1	EP01113P051104	10	6
CEO99264.1	EP01113P051104	10	6
CEO99264.1	EP01113P051104	10	6
CEP00506.1	EP00047P005128	20	4
CEP00506.1	EP01110P011021	116	6
CEP02355.1	EP00372P005258	10	3
CEP02355.1	EP00372P005258	10	3
CEP02355.1	EP00372P005258	10	3
CEP02355.1	EP00372P005258	10	3
CEP02355.1	EP00372P005258	10	3
CEP02355.1	EP00372P005258	10	3
CEP02355.1	EP00372P005258	10	3
CEP02355.1	EP00372P005258	10	3
CEP02355.1	EP00372P005258	10	3
CEP02355.1	EP00372P005258	10	3
CEP02355.1	EP00372P005258	10	3
CEP02355.1	EP00372P005258	10	3
CEP02664.1	EP00742P024275	37	8
CEP02664.1	EP00742P024275	37	8
CEP02664.1	EP00742P024275	37	8
CEP02664.1	EP00742P024275	37	8
CEP02664.1	EP00742P024275	37	8
CEP02664.1	EP00742P024275	37	8
CEP02664.1	EP00742P024275	37	8
CEP02664.1	EP00742P024275	37	8
CEP02664.1	EP00742P024275	37	8
CEP02664.1	EP00742P024275	37	8
CEP02664.1	EP00742P024275	37	8
CEP02664.1	EP00742P024275	37	8
CEP02783.1	CEP00702.1	8	1
CEP02783.1	SPR00849.1	14	3
EP00001P000983	EP00964P009771	15	5
EP00001P000983	EP00964P009771	15	5
EP00001P000983	EP00964P009771	15	5
EP00001P000983	EP00964P009771	15	5
EP00001P000983	EP00964P009771	15	5
EP00001P000983	EP00964P009771	15	5
EP00001P000983	EP00964P009771	15	5
EP00001P000983	EP00964P009771	15	5
EP00001P000983	EP00964P009771	15	5
EP00001P000983	EP00964P009771	15	5
EP00001P000983	EP00964P009771	15	5
EP00001P000983	EP00964P009771	15	5
EP00001P024702	EP00178P017270	27	15
EP00001P053778	EP00421P072204	11	6
EP00001P054466	EP00001P054466	10	6
EP00001P054466	EP00001P054466	10	6
EP00001P054466	EP00001P054466	10	6
EP00001P054466	EP00001P054466	10	6
EP00001P054466	EP00001P054466	10	6
EP00001P054466	EP00001P054466	10	6
EP00001P054466	EP00001P054466	10	6
EP00001P054466	EP00001P054466	10	6
EP00001P054466	EP00001P054466	10	6
EP00001P054466	EP00001P054466	10	6
EP00001P054466	EP00001P054466	10	6
EP00001P054466	EP00001P054466	10	6
EP00001P054466	EP00850P010667	11	3
EP00001P054466	EP00850P010667	11	3
EP00001P054466	EP00850P010667	11	3
EP00001P054466	EP00850P010667	11	3
EP00001P054466	EP00850P010667	11	3
EP00001P054466	EP00850P010667	11	3
EP00001P054466	EP00850P010667	11	3
EP00001P054466	EP00850P010667	11	3
EP00001P054466	EP00850P010667	11	3
EP00001P054466	EP00850P010667	11	3
EP00001P054466	EP00850P010667	11	3
EP00001P054466	EP00850P010667	11	3
EP00001P101763	EP00249P035970	18	9
EP00001P122759	EP01156P016385	22	11
EP00001P122759	EP01156P016385	22	11
EP00001P122759	EP01156P016385	22	11
EP00001P122759	EP01156P016385	22	11
EP00001P122759	EP01156P016385	22	11
EP00001P132778	EP00351P001845	20	10
EP00001P132778	EP00351P001845	20	10
EP00001P132778	EP01035P068215	8	5
EP00001P132778	EP01035P068215	8	5
EP00002P001325	EP00002P000797	9	2
EP00002P001325	EP00002P000797	9	2
EP00002P001325	EP00474P004545	36	6
EP00002P001325	EP00474P004545	36	6
EP00002P001716	EP00820P008005	13	6
EP00002P001716	EP00820P008005	13	6
EP00002P001716	EP00820P008005	13	6
EP00002P001716	EP00820P008005	13	6
EP00002P001716	EP00820P008005	13	6
EP00002P001716	EP00820P008005	13	6
EP00002P001716	EP00820P008005	13	6
EP00002P001716	EP00820P008005	13	6
EP00002P001716	EP00820P008005	13	6
EP00002P001716	EP00820P008005	13	6
EP00002P001716	EP00820P008005	13	6
EP00002P001716	EP00820P008005	13	6
EP00002P001899	EP00652P023293	18	5
EP00002P001899	EP00652P023293	18	5
EP00002P001899	EP00652P023293	18	5
EP00002P001899	EP00652P023293	18	5
EP00002P001899	EP00652P023293	18	5
EP00002P001899	EP00652P023293	18	5
EP00002P001899	EP00652P023293	18	5
EP00002P001899	EP00652P023293	18	5
EP00002P001899	EP00652P023293	18	5
EP00002P001899	EP00652P023293	18	5
EP00002P001899	EP00652P023293	18	5
EP00002P001899	EP00652P023293	18	5
EP00002P001899	EP00797P002887	45	4
EP00002P001899	EP00797P002887	45	4
EP00002P001899	EP00797P002887	45	4
EP00002P001899	EP00797P002887	45	4
EP00002P001899	EP00797P002887	45	4
EP00002P001899	EP00797P002887	45	4
EP00002P001899	EP00797P002887	45	4
EP00002P001899	EP00797P002887	45	4
EP00002P001899	EP00797P002887	45	4
EP00002P001899	EP00797P002887	45	4
EP00002P001899	EP00797P002887	45	4
EP00002P001899	EP00797P002887	45	4
EP00002P001899	EP01090P004192	12	4
EP00002P001899	EP01090P004192	12	4
EP00002P001899	EP01090P004192	12	4
EP00002P001899	EP01090P004192	12	4
EP00002P001899	EP01090P004192	12	4
EP00002P001899	EP01090P004192	12	4
EP00002P001899	EP01090P004192	12	4
EP00002P001899	EP01090P004192	12	4
EP00002P001899	EP01090P004192	12	4
EP00002P001899	EP01090P004192	12	4
EP00002P001899	EP01090P004192	12	4
EP00002P001899	EP01090P004192	12	4
EP00002P002787	EP00480P030059	24	1
EP00002P006494	EP01038P007153	16	8
EP00002P006643	EP00113P006416	27	13
EP00002P006643	EP00113P006416	27	13
EP00002P006643	EP00113P006416	27	13
EP00002P006643	EP00113P006416	27	13
EP00002P006643	EP00113P006416	27	13
EP00002P006643	EP00113P006416	27	13
EP00002P006643	EP00113P006416	27	13
EP00002P006643	EP00113P006416	27	13
EP00002P006643	EP00113P006416	27	13
EP00002P006643	EP00113P006416	27	13
EP00002P006643	EP00113P006416	27	13
EP00002P006643	EP00113P006416	27	13
EP00002P006643	EP01006P028668	5	2
EP00002P006643	EP01006P028668	5	2
EP00002P006643	EP01006P028668	5	2
EP00002P006643	EP01006P028668	5	2
EP00002P006643	EP01006P028668	5	2
EP00002P006643	EP01006P028668	5	2
EP00002P006643	EP01006P028668	5	2
EP00002P006643	EP01006P028668	5	2
EP00002P006643	EP01006P028668	5	2
EP00002P006643	EP01006P028668	5	2
EP00002P006643	EP01006P028668	5	2
EP00002P006643	EP01006P028668	5	2
EP00002P006643	EP01114P008217	10	4
EP00002P006643	EP01114P008217	10	4
EP00002P006643	EP01114P008217	10	4
EP00002P006643	EP01114P008217	10	4
EP00002P006643	EP01114P008217	10	4
EP00002P006643	EP01114P008217	10	4
EP00002P006643	EP01114P008217	10	4
EP00002P006643	EP01114P008217	10	4
EP00002P006643	EP01114P008217	10	4
EP00002P006643	EP01114P008217	10	4
EP00002P006643	EP01114P008217	10	4
EP00002P006643	EP01114P008217	10	4
EP00002P008206	EP00675P009270	82	19
EP00002P008206	EP00675P009270	82	19
EP00002P008206	EP00675P009270	82	19
EP00002P008206	EP00675P009270	82	19
EP00002P008206	EP00675P009270	82	19
EP00002P008206	EP00675P009270	82	19
EP00002P008206	EP00675P009270	82	19
EP00002P009029	EP00743P024026	13	8
EP00002P009029	EP00920P035703	42	11
EP00002P013118	EP00037P022530	65	15
EP00002P013118	EP00037P022530	65	15
EP00002P013118	EP00037P022530	65	15
EP00002P013118	EP00037P022530	65	15
EP00002P013118	EP00037P022530	65	15
EP00002P013118	EP00037P022530	65	15
EP00002P013118	EP00037P022530	65	15
EP00002P013118	EP00037P022530	65	15
EP00002P013118	EP00037P022530	65	15
EP00002P013118	EP00037P022530	65	15
EP00002P013118	EP00037P022530	65	15
EP00002P013118	EP00037P022530	65	15
EP00002P018009	EP01137P031881	38	13
EP00002P018009	EP01137P031881	38	13
EP00002P018009	EP01137P031881	38	13
EP00002P018009	EP01137P031881	38	13
EP00002P018009	EP01137P031881	38	13
EP00002P018009	EP01137P031881	38	13
EP00002P018009	EP01137P031881	38	13
EP00002P018009	EP01137P031881	38	13
EP00002P018009	EP01137P031881	38	13
EP00002P018009	EP01137P031881	38	13
EP00002P018707	EP00002P018707	33	14
EP00002P018707	EP00002P018707	33	14
EP00002P018707	EP00002P018707	33	14
EP00002P021074	EP00237P000417	13	4
EP00002P025971	EP00358P002774	7	4
EP00002P025971	EP00358P002774	7	4
EP00002P025971	EP00358P002774	7	4
EP00002P025971	EP00358P002774	7	4
EP00002P025971	EP00358P002774	7	4
EP00002P025971	EP00358P002774	7	4
EP00002P025971	EP00358P002774	7	4
EP00002P025971	EP00358P002774	7	4
EP00002P025971	EP00358P002774	7	4
EP00002P025971	EP00358P002774	7	4
EP00002P029199	EP00229P008080	32	11
EP00002P030758	EP00153P013255	59	13
EP00002P030758	EP00153P013255	59	13
EP00002P030758	EP00153P013255	59	13
EP00002P030758	EP00153P013255	59	13
EP00002P030758	EP00153P013255	59	13
EP00002P030758	EP00153P013255	59	13
EP00002P030758	EP00153P013255	59	13
EP00002P030758	EP00153P013255	59	13
EP00002P030872	EP00752P005333	71	18
EP00002P030872	EP00752P005333	71	18
EP00002P030872	EP00752P005333	71	18
EP00002P030872	EP00752P005333	71	18
EP00002P030872	EP00752P005333	71	18
EP00002P030872	EP00752P005333	71	18
EP00002P030872	EP00752P005333	71	18
EP00002P030872	EP00752P005333	71	18
EP00002P030872	EP00752P005333	71	18
EP00002P030872	EP00752P005333	71	18
EP00002P030872	EP00752P005333	71	18
EP00002P030872	EP00752P005333	71	18
EP00002P033342	EP00643P000604	13	5
EP00002P033342	EP00151P017895	7	2
EP00002P033342	EP00853P014341	89	14
EP00002P035072	EP01113P025172	8	6
EP00002P035116	EP00092P099791	12	1
EP00002P035116	EP00092P099791	12	1
EP00002P035116	EP00092P099791	12	1
EP00002P035116	EP00092P099791	12	1
EP00002P035116	EP00092P099791	12	1
EP00002P035116	EP00092P099791	12	1
EP00002P035116	EP00092P099791	12	1
EP00002P035116	EP00092P099791	12	1
EP00002P035116	EP00092P099791	12	1
EP00002P035116	EP00092P099791	12	1
EP00002P035116	EP00092P099791	12	1
EP00002P035116	EP00092P099791	12	1
EP00002P035116	EP00257P021757	12	4
EP00002P035116	EP00257P021757	12	4
EP00002P035116	EP00257P021757	12	4
EP00002P035116	EP00257P021757	12	4
EP00002P035116	EP00257P021757	12	4
EP00002P035116	EP00257P021757	12	4
EP00002P035116	EP00257P021757	12	4
EP00002P035116	EP00257P021757	12	4
EP00002P035116	EP00257P021757	12	4
EP00002P035116	EP00257P021757	12	4
EP00002P035116	EP00257P021757	12	4
EP00002P035116	EP00257P021757	12	4
EP00002P035116	XP_031472763.1	24	3
EP00002P035116	XP_031472763.1	24	3
EP00002P035116	XP_031472763.1	24	3
EP00002P035116	XP_031472763.1	24	3
EP00002P035116	XP_031472763.1	24	3
EP00002P035116	XP_031472763.1	24	3
EP00002P035116	XP_031472763.1	24	3
EP00002P035116	XP_031472763.1	24	3
EP00002P035116	XP_031472763.1	24	3
EP00002P035116	XP_031472763.1	24	3
EP00002P035116	XP_031472763.1	24	3
EP00002P035116	XP_031472763.1	24	3
EP00002P035236	EP00435P022633	154	10
EP00002P035236	EP00435P022633	154	10
EP00002P035236	EP00435P022633	154	10
EP00002P035236	EP00435P022633	154	10
EP00002P035236	EP00435P022633	154	10
EP00002P035236	EP00435P022633	154	10
EP00002P035236	EP00435P022633	154	10
EP00002P035236	EP00435P022633	154	10
EP00002P035236	EP00435P022633	154	10
EP00002P035236	EP00435P022633	154	10
EP00002P035236	EP00435P022633	154	10
EP00002P035236	EP00435P022633	154	10
EP00002P035236	EP01034P037278	6	1
EP00002P035236	EP01034P037278	6	1
EP00002P035236	EP01034P037278	6	1
EP00002P035236	EP01034P037278	6	1
EP00002P035236	EP01034P037278	6	1
EP00002P035236	EP01034P037278	6	1
EP00002P035236	EP01034P037278	6	1
EP00002P035236	EP01034P037278	6	1
EP00002P035236	EP01034P037278	6	1
EP00002P035236	EP01034P037278	6	1
EP00002P035236	EP01034P037278	6	1
EP00002P035236	EP01034P037278	6	1
EP00002P036240	EP00475P004828	8	5
EP00002P036240	EP00475P004828	8	5
EP00002P036240	EP00475P004828	8	5
EP00002P036240	EP00475P004828	8	5
EP00002P036240	EP00948P001223	10	5
EP00002P036240	EP00948P001223	10	5
EP00002P036240	EP00948P001223	10	5
EP00002P036240	EP00948P001223	10	5
EP00002P036240	EP01041P025145	13	8
EP00002P036240	EP01041P025145	13	8
EP00002P036240	EP01041P025145	13	8
EP00002P036240	EP01041P025145	13	8
EP00002P039943	EP00188P000969	5	2
EP00002P039943	EP01101P010545	33	5
EP00002P040386	EP00742P013972	11	5
EP00002P040386	EP00708P006800	5	3
EP00002P040386	EP00741P012658	32	11
EP00003P000284	EP00607P002762	12	11
EP00003P000284	EP00607P002762	12	11
EP00003P000284	EP00607P002762	12	11
EP00003P000284	EP00607P002762	12	11
EP00003P000417	EP00518P011869	14	2
EP00003P000417	EP00518P011869	14	2
EP00003P000417	EP00518P011869	14	2
EP00003P000417	EP00518P011869	14	2
EP00003P000417	EP00518P011869	14	2
EP00003P000417	EP00518P011869	14	2
EP00003P000417	EP00518P011869	14	2
EP00003P000417	EP00518P011869	14	2
EP00003P000417	EP00518P011869	14	2
EP00003P000417	EP00518P011869	14	2
EP00003P000417	EP00518P011869	14	2
EP00003P000417	EP00518P011869	14	2
EP00003P000417	EP00746P072911	58	11
EP00003P000417	EP00746P072911	58	11
EP00003P000417	EP00746P072911	58	11
EP00003P000417	EP00746P072911	58	11
EP00003P000417	EP00746P072911	58	11
EP00003P000417	EP00746P072911	58	11
EP00003P000417	EP00746P072911	58	11
EP00003P000417	EP00746P072911	58	11
EP00003P000417	EP00746P072911	58	11
EP00003P000417	EP00746P072911	58	11
EP00003P000417	EP00746P072911	58	11
EP00003P000417	EP00746P072911	58	11
EP00003P000893	EP01118P001600	24	9
EP00003P000893	EP01118P001600	24	9
EP00003P000893	EP01118P001600	24	9
EP00003P000893	EP01118P001600	24	9
EP00003P000893	EP01118P001600	24	9
EP00003P000893	EP01118P001600	24	9
EP00003P000893	EP01118P001600	24	9
EP00003P000893	EP01118P001600	24	9
EP00003P000893	EP01118P001600	24	9
EP00003P000893	EP01118P001600	24	9
EP00003P000893	EP01118P001600	24	9
EP00003P000893	EP01118P001600	24	9
EP00003P000981	EP01132P011584	27	9
EP00003P000981	EP01132P011584	27	9
EP00003P000981	EP01132P011584	27	9
EP00003P001155	EP01034P037943	6	3
EP00003P001155	EP01034P037943	6	3
EP00003P001155	EP01034P037943	6	3
EP00003P001155	EP01034P037943	6	3
EP00003P001155	EP01034P037943	6	3
EP00003P001155	EP01034P037943	6	3
EP00003P001155	EP01034P037943	6	3
EP00003P001155	EP01034P037943	6	3
EP00003P001155	EP01034P037943	6	3
EP00003P001155	EP01034P037943	6	3
EP00003P001155	EP01034P037943	6	3
EP00003P001155	EP01034P037943	6	3
EP00003P001155	EP01093P018930	5	4
EP00003P001155	EP01093P018930	5	4
EP00003P001155	EP01093P018930	5	4
EP00003P001155	EP01093P018930	5	4
EP00003P001155	EP01093P018930	5	4
EP00003P001155	EP01093P018930	5	4
EP00003P001155	EP01093P018930	5	4
EP00003P001155	EP01093P018930	5	4
EP00003P001155	EP01093P018930	5	4
EP00003P001155	EP01093P018930	5	4
EP00003P001155	EP01093P018930	5	4
EP00003P001155	EP01093P018930	5	4
EP00003P001555	EP01013P040187	30	11
EP00003P001555	EP00753P009454	27	10
EP00003P004934	EP00083P008495	6	1
EP00003P004934	EP00083P008495	6	1
EP00003P004934	EP00083P008495	6	1
EP00003P004934	EP00083P008495	6	1
EP00003P004934	EP00083P008495	6	1
EP00003P004934	EP00083P008495	6	1
EP00003P004934	EP00083P008495	6	1
EP00003P004934	EP00083P008495	6	1
EP00003P004934	EP00083P008495	6	1
EP00003P004934	EP00083P008495	6	1
EP00003P004934	EP00083P008495	6	1
EP00003P004934	EP00083P008495	6	1
EP00003P004934	EP00905P001333	6	5
EP00003P004934	EP00905P001333	6	5
EP00003P004934	EP00905P001333	6	5
EP00003P004934	EP00905P001333	6	5
EP00003P004934	EP00905P001333	6	5
EP00003P004934	EP00905P001333	6	5
EP00003P004934	EP00905P001333	6	5
EP00003P004934	EP00905P001333	6	5
EP00003P004934	EP00905P001333	6	5
EP00003P004934	EP00905P001333	6	5
EP00003P004934	EP00905P001333	6	5
EP00003P004934	EP00905P001333	6	5
EP00003P007231	EP01037P030149	5	2
EP00003P007231	EP01037P030149	5	2
EP00003P007231	EP01037P030149	5	2
EP00003P007231	EP01037P030149	5	2
EP00003P007231	EP01037P030149	5	2
EP00003P007231	EP01037P030149	5	2
EP00003P007231	EP01037P030149	5	2
EP00003P007231	EP01037P030149	5	2
EP00003P007231	EP01037P030149	5	2
EP00003P007231	EP01037P030149	5	2
EP00003P007231	EP01037P030149	5	2
EP00003P007231	EP01037P030149	5	2
EP00003P008988	EP00003P008988	11	8
EP00003P008988	EP00003P008988	11	8
EP00003P008988	EP00003P008988	11	8
EP00003P008988	EP00003P008988	11	8
EP00003P010503	EP00863P006242	38	10
EP00003P010503	EP00863P006242	38	10
EP00003P010794	EP00993P002679	10	4
EP00003P010794	EP00993P002679	10	4
EP00003P011831	EP01041P012872	20	13
EP00003P011847	EP00003P011847	49	13
EP00003P011847	EP00003P011847	49	13
EP00003P011847	EP00003P011847	49	13
EP00003P011847	EP00003P011847	49	13
EP00003P011847	EP00003P011847	49	13
EP00003P011847	EP00003P011847	49	13
EP00003P011847	EP00003P011847	49	13
EP00003P011847	EP00003P011847	49	13
EP00003P011847	EP00003P011847	49	13
EP00003P011847	EP00003P011847	49	13
EP00003P011847	EP00003P011847	49	13
EP00003P011847	EP00003P011847	49	13
EP00003P012208	EP01027P017522	22	9
EP00003P012208	EP01030P007543	24	11
EP00003P012891	EP01132P013178	27	9
EP00003P012891	EP01132P013178	27	9
EP00003P012891	EP01132P013178	27	9
EP00003P012891	EP01132P013178	27	9
EP00003P012891	EP01132P013178	27	9
EP00003P012891	EP01132P013178	27	9
EP00003P012891	EP01132P013178	27	9
EP00003P012891	EP01132P013178	27	9
EP00003P012891	EP01132P013178	27	9
EP00003P012891	EP01132P013178	27	9
EP00003P012891	EP01132P013178	27	9
EP00003P012891	EP01132P013178	27	9
EP00003P013382	EP00825P007464	9	4
EP00003P013382	EP01133P027492	15	7
EP00003P014742	EP01012P066832	8	5
EP00003P014742	EP01012P066832	8	5
EP00003P014742	EP01012P066832	8	5
EP00003P014742	EP01012P066832	8	5
EP00003P014742	EP01012P066832	8	5
EP00003P014742	EP01012P066832	8	5
EP00003P014742	EP01012P066832	8	5
EP00003P014742	EP01012P066832	8	5
EP00003P014742	EP01012P066832	8	5
EP00003P014742	EP01012P066832	8	5
EP00003P014742	EP01012P066832	8	5
EP00003P014742	EP01012P066832	8	5
EP00003P014991	EP01026P029885	14	8
EP00003P014991	EP01026P029885	14	8
EP00003P014991	EP01026P029885	14	8
EP00003P014991	EP01026P029885	14	8
EP00003P014991	EP01026P029885	14	8
