tree_name	euk_clade_rep	prok_taxa	c-ELW
CEM35041.1	EP01138P003650	Actinomycetota	8.47e-26
CEM35041.1	EP01138P003650	Alphaproteobacteria	3.63e-12
CEM35041.1	EP01138P003650	Alphaproteobacteria	0.0025
CEM35041.1	EP01138P003650	Gammaproteobacteria	1.74e-16
CEO95287.1	EP00561P012039	FCB group	0.303
CEO95287.1	EP00561P012039	Bacillota	0.00032
CEO95287.1	EP00561P012039	Actinomycetota	0.0559
CEO95287.1	EP00561P012039	Euryarchaeota	0.00642
CEO95287.1	EP00561P012039	Actinomycetota	0.144
CEO95287.1	EP00561P012039	Bacillota	0.000321
CEO95287.1	EP00561P012039	Cyanobacteriota	0.00637
CEO95287.1	EP00561P012039	Cyanobacteriota	0.0566
CEO95287.1	EP00561P012039	Bacillota	0.187
CEO95287.1	EP00561P012039	Gammaproteobacteria	0.0678
CEO95287.1	EP00561P012039	Bacillota	0.0507
CEO95287.1	EP00561P012039	Bacillota	0.121
CEO95287.1	EP00738P006995	Actinomycetota	0.00685
CEO95287.1	EP00738P006995	Actinomycetota	0.0954
CEO95287.1	EP00738P006995	Gammaproteobacteria	5.97e-09
CEO95287.1	EP00738P006995	FCB group	0.00511
CEO95287.1	EP00738P006995	Bacillota	0.0839
CEO95287.1	EP00738P006995	Actinomycetota	0.077
CEO95287.1	EP00738P006995	Actinomycetota	0.226
CEO95287.1	EP00738P006995	Bacillota	0.00511
CEO95287.1	EP00738P006995	Bacillota	0.00861
CEO95287.1	EP00738P006995	Bacillota	0.492
CEO95287.1	EP00738P006995	Bacillota	1.94e-08
CEO95287.1	EP00738P006995	Actinomycetota	1.3e-08
CEO95287.1	EP01104P015115	Actinomycetota	0.113
CEO95287.1	EP01104P015115	Actinomycetota	0.0983
CEO95287.1	EP01104P015115	Gammaproteobacteria	1.27e-12
CEO95287.1	EP01104P015115	FCB group	0.002
CEO95287.1	EP01104P015115	Bacillota	0.0119
CEO95287.1	EP01104P015115	Actinomycetota	0.159
CEO95287.1	EP01104P015115	Actinomycetota	0.414
CEO95287.1	EP01104P015115	Bacillota	0.00309
CEO95287.1	EP01104P015115	Bacillota	0.0202
CEO95287.1	EP01104P015115	Bacillota	0.178
CEO95287.1	EP01104P015115	Bacillota	3.48e-18
CEO95287.1	EP01104P015115	Actinomycetota	1.23e-14
CEO98053.1	EP00656P028155	Bacillota	1.43e-05
CEO98053.1	EP00656P028155	Bacillota	0.00981
CEO98053.1	EP00656P028155	Bacillota	0.00688
CEO98053.1	EP00656P028155	Alphaproteobacteria	0.274
CEO98053.1	EP00656P028155	Actinomycetota	1.14e-10
CEO98053.1	EP00656P028155	Bacillota	2.87e-09
CEO98053.1	EP00656P028155	Gammaproteobacteria	0.282
CEO98053.1	EP00656P028155	Bacillota	0.155
CEO98053.1	EP00656P028155	Bacillota	0.00738
CEO98053.1	EP00656P028155	Bacillota	0.00857
CEO98053.1	EP00656P028155	Alphaproteobacteria	0.253
CEO98053.1	EP00656P028155	Bacillota	0.00316
CEO99201.1	EP00581P002422	Myxococcota	0.0323
CEO99201.1	EP00581P002422	Myxococcota	0.518
CEO99201.1	EP00581P002422	TACK group	0.41
CEO99201.1	EP00581P002422	TACK group	0.0392
CEP00506.1	EP00105P027274	Bacillota	0.208
CEP00506.1	EP00105P027274	Alphaproteobacteria	0.00341
CEP00506.1	EP00105P027274	Betaproteobacteria	0.00126
CEP00506.1	EP00105P027274	Gammaproteobacteria	0.0441
CEP00506.1	EP00105P027274	Actinomycetota	0.00297
CEP00506.1	EP00105P027274	Bacillota	0.307
CEP00506.1	EP00105P027274	Bacillota	1.12e-05
CEP00506.1	EP00105P027274	Actinomycetota	0.193
CEP00506.1	EP00105P027274	FCB group	9.95e-05
CEP00506.1	EP00105P027274	PVC group	0.00133
CEP00506.1	EP00105P027274	Alphaproteobacteria	0.00212
CEP00506.1	EP00105P027274	Actinomycetota	0.236
CEP00506.1	EP00446P009440	Alphaproteobacteria	0.0771
CEP00506.1	EP00446P009440	Alphaproteobacteria	0.0274
CEP00506.1	EP00446P009440	Alphaproteobacteria	0.211
CEP00506.1	EP00446P009440	Actinomycetota	0.00854
CEP00506.1	EP00446P009440	Betaproteobacteria	0.0285
CEP00506.1	EP00446P009440	Betaproteobacteria	0.0779
CEP00506.1	EP00446P009440	Alphaproteobacteria	0.0493
CEP00506.1	EP00446P009440	Actinomycetota	0.0697
CEP00506.1	EP00446P009440	Alphaproteobacteria	0.0841
CEP00506.1	EP00446P009440	Alphaproteobacteria	0.152
CEP00506.1	EP00446P009440	Alphaproteobacteria	0.0385
CEP00506.1	EP00446P009440	Alphaproteobacteria	0.176
CEP00506.1	EP01110P011021	Bacillota	0.312
CEP00506.1	EP01110P011021	Alphaproteobacteria	0.0038
CEP00506.1	EP01110P011021	Betaproteobacteria	0.0176
CEP00506.1	EP01110P011021	Gammaproteobacteria	0.179
CEP00506.1	EP01110P011021	Actinomycetota	0.000716
CEP00506.1	EP01110P011021	Bacillota	0.26
CEP00506.1	EP01110P011021	Bacillota	0.000359
CEP00506.1	EP01110P011021	Actinomycetota	0.0993
CEP00506.1	EP01110P011021	FCB group	5.48e-05
CEP00506.1	EP01110P011021	PVC group	0.0494
CEP00506.1	EP01110P011021	Alphaproteobacteria	0.0133
CEP00506.1	EP01110P011021	Actinomycetota	0.0643
CEP02098.1	EP00455P023798	Euryarchaeota	1.0
CEP02098.1	EP01111P003513	Euryarchaeota	1.0
EP00001P054466	EP00850P010667	Mycoplasmatota	0.0396
EP00001P054466	EP00850P010667	Bacillota	7.05e-05
EP00001P054466	EP00850P010667	Mycoplasmatota	0.0246
EP00001P054466	EP00850P010667	Bacillota	0.000277
EP00001P054466	EP00850P010667	Bacillota	0.00508
EP00001P054466	EP00850P010667	Cyanobacteriota	0.875
EP00001P054466	EP00850P010667	Chlamydiia	0.024
EP00001P054466	EP00850P010667	Mycoplasmatota	5.42e-05
EP00001P054466	EP00850P010667	Bacillota	0.00965
EP00001P054466	EP00850P010667	Gammaproteobacteria	0.000718
EP00001P054466	EP00850P010667	Spirochaetota	0.0203
EP00001P054466	EP00850P010667	FCB group	0.000898
EP00001P054466	EP01137P020629	Bacillota	0.168
EP00001P054466	EP01137P020629	Chlamydiia	0.132
EP00001P054466	EP01137P020629	Betaproteobacteria	0.00688
EP00001P054466	EP01137P020629	Spirochaetota	0.281
EP00001P054466	EP01137P020629	Gammaproteobacteria	0.000226
EP00001P054466	EP01137P020629	Betaproteobacteria	0.000617
EP00001P054466	EP01137P020629	Gammaproteobacteria	0.0171
EP00001P054466	EP01137P020629	Betaproteobacteria	1.04e-05
EP00001P054466	EP01137P020629	Gammaproteobacteria	0.0071
EP00001P054466	EP01137P020629	Acidobacteriota	0.229
EP00001P054466	EP01137P020629	Spirochaetota	0.0304
EP00001P054466	EP01137P020629	FCB group	0.127
EP00001P122759	EP01156P002929	FCB group	1.0
EP00002P005568	EP00279P016153	Bacillota	0.0288
EP00002P005568	EP00279P016153	Chloroflexota	0.0913
EP00002P005568	EP00279P016153	Asgard	0.0556
EP00002P005568	EP00279P016153	Chlamydiia	0.0863
EP00002P005568	EP00279P016153	Bacillota	0.0631
EP00002P005568	EP00279P016153	Actinomycetota	0.0947
EP00002P005568	EP00279P016153	Thermodesulfobacteriota	0.00685
EP00002P005568	EP00279P016153	Thermodesulfobacteriota	0.00391
EP00002P005568	EP00279P016153	Actinomycetota	0.0671
EP00002P005568	EP00279P016153	Actinomycetota	0.0795
EP00002P005568	EP00279P016153	Thermodesulfobacteriota	0.412
EP00002P005568	EP00279P016153	Euryarchaeota	0.0107
EP00002P005568	EP01090P021665	Bacillota	0.0532
EP00002P005568	EP01090P021665	Chloroflexota	0.276
EP00002P005568	EP01090P021665	Asgard	0.0878
EP00002P005568	EP01090P021665	Chlamydiia	0.0814
EP00002P005568	EP01090P021665	Bacillota	0.105
EP00002P005568	EP01090P021665	Actinomycetota	0.0127
EP00002P005568	EP01090P021665	Thermodesulfobacteriota	0.0101
EP00002P005568	EP01090P021665	Thermodesulfobacteriota	0.00953
EP00002P005568	EP01090P021665	Actinomycetota	0.179
EP00002P005568	EP01090P021665	Actinomycetota	0.169
EP00002P005568	EP01090P021665	Thermodesulfobacteriota	0.00674
EP00002P005568	EP01090P021665	Euryarchaeota	0.00956
EP00002P006494	EP00903P000222	Asgard	0.149
EP00002P006494	EP00903P000222	Asgard	0.105
EP00002P006494	EP00903P000222	Chloroflexota	0.0098
EP00002P006494	EP00903P000222	Campylobacterota	0.119
EP00002P006494	EP00903P000222	Euryarchaeota	0.466
EP00002P006494	EP00903P000222	Bacillota	0.0285
EP00002P006494	EP00903P000222	Deinococcota	0.104
EP00002P006494	EP00903P000222	FCB group	0.00781
EP00002P006494	EP00903P000222	Bacillota	0.0105
EP00002P006643	EP00879P005193	Thermodesulfobacteriota	0.0725
EP00002P006643	EP00879P005193	Bacillota	0.0964
EP00002P006643	EP00879P005193	Gammaproteobacteria	0.0905
EP00002P006643	EP00879P005193	FCB group	0.109
EP00002P006643	EP00879P005193	Betaproteobacteria	0.018
EP00002P006643	EP00879P005193	Betaproteobacteria	0.13
EP00002P006643	EP00879P005193	Bacillota	0.122
EP00002P006643	EP00879P005193	Betaproteobacteria	0.126
EP00002P006643	EP00879P005193	FCB group	7.25e-05
EP00002P006643	EP00879P005193	Alphaproteobacteria	0.122
EP00002P006643	EP00879P005193	FCB group	0.113
EP00002P006643	EP00879P005193	Cyanobacteriota	4.81e-05
EP00002P013327	EP00126P009013	Betaproteobacteria	1.0
EP00002P013327	EP00897P001238	Betaproteobacteria	1.0
EP00002P018009	EP00160P006433	Asgard	0.5
EP00002P018009	EP00160P006433	Euryarchaeota	0.5
EP00002P021429	EP01038P012602	PVC group	0.124
EP00002P021429	EP01038P012602	Actinomycetota	0.0624
EP00002P021429	EP01038P012602	Gammaproteobacteria	0.0097
EP00002P021429	EP01038P012602	Bacillota	0.0836
EP00002P021429	EP01038P012602	PVC group	0.0309
EP00002P021429	EP01038P012602	Actinomycetota	0.0558
EP00002P021429	EP01038P012602	PVC group	0.12
EP00002P021429	EP01038P012602	FCB group	0.0115
EP00002P021429	EP01038P012602	Betaproteobacteria	0.0281
EP00002P021429	EP01038P012602	Actinomycetota	0.0281
EP00002P021429	EP01038P012602	Actinomycetota	0.166
EP00002P021429	EP01038P012602	Gammaproteobacteria	0.279
EP00002P029199	EP00002P031692	Chloroflexota	0.227
EP00002P029199	EP00002P031692	Asgard	0.0866
EP00002P029199	EP00002P031692	Asgard	0.0566
EP00002P029199	EP00002P031692	Asgard	0.0462
EP00002P029199	EP00002P031692	Chlamydiia	0.258
EP00002P029199	EP00002P031692	Spirochaetota	0.25
EP00002P029199	EP00002P031692	FCB group	0.0754
EP00002P029199	WP_054298093_1	Chloroflexota	0.622
EP00002P029199	WP_054298093_1	Asgard	0.000179
EP00002P029199	WP_054298093_1	Asgard	3.11e-11
EP00002P029199	WP_054298093_1	Asgard	5.68e-08
EP00002P029199	WP_054298093_1	Chlamydiia	0.161
EP00002P029199	WP_054298093_1	Spirochaetota	0.215
EP00002P029199	WP_054298093_1	FCB group	0.00162
EP00002P034395	EP00553P003285	Bacillota	1.0
EP00002P034395	EP00002P034395	Bacillota	1.0
EP00003P000417	EP00304P010759	Bacillota	0.00253
EP00003P000417	EP00304P010759	Alphaproteobacteria	0.995
EP00003P000417	EP00304P010759	Actinomycetota	0.00252
EP00003P000417	EP00984P034224	Bacillota	0.211
EP00003P000417	EP00984P034224	Alphaproteobacteria	0.714
EP00003P000417	EP00984P034224	Actinomycetota	0.0754
EP00003P000928	EP00003P000928	Alphaproteobacteria	1.0
EP00003P000928	EP00455P011845	Alphaproteobacteria	1.0
EP00003P000981	EP00581P023230	Alphaproteobacteria	0.0519
EP00003P000981	EP00581P023230	Gammaproteobacteria	0.000445
EP00003P000981	EP00581P023230	Bacillota	0.00268
EP00003P000981	EP00581P023230	Gammaproteobacteria	0.0143
EP00003P000981	EP00581P023230	Betaproteobacteria	0.0743
EP00003P000981	EP00581P023230	Alphaproteobacteria	0.69
EP00003P000981	EP00581P023230	Actinomycetota	0.00028
EP00003P000981	EP00581P023230	Alphaproteobacteria	0.0281
EP00003P000981	EP00581P023230	Alphaproteobacteria	0.0357
EP00003P000981	EP00581P023230	Actinomycetota	0.0984
EP00003P000981	EP00581P023230	Bacillota	0.000201
EP00003P000981	EP00581P023230	Actinomycetota	0.00386
EP00003P001155	EP00873P008442	Alphaproteobacteria	1.0
EP00003P001155	EP00873P008442	Betaproteobacteria	0.000154
EP00003P001155	EP00873P008442	Gammaproteobacteria	0.00021
EP00003P001155	EP01034P037943	Alphaproteobacteria	0.215
EP00003P001155	EP01034P037943	Betaproteobacteria	0.152
EP00003P001155	EP01034P037943	Gammaproteobacteria	0.634
EP00003P002661	EP01031P002275	Actinomycetota	1.0
EP00003P003599	EP01042P018348	Campylobacterota	0.5
EP00003P003599	EP01042P018348	Bacillota	0.5
EP00003P004297	EP00068P022314	Mycoplasmatota	1.0
EP00003P005232	EP00386P002048	Actinomycetota	0.407
EP00003P005232	EP00386P002048	Actinomycetota	0.319
EP00003P005232	EP00386P002048	Actinomycetota	0.0342
EP00003P005232	EP00386P002048	Actinomycetota	0.24
EP00003P005561	EP00388P001764	Mycoplasmatota	1.0
EP00003P005561	EP01022P032621	Mycoplasmatota	1.0
EP00003P010916	EP00180P002058	Spirochaetota	1.0
EP00003P010916	EP00855P000717	Spirochaetota	1.0
EP00003P012161	EP00003P012161	Gammaproteobacteria	0.5
EP00003P012161	EP00003P012161	Bacillota	0.5
EP00003P012208	EP00906P012717	Asgard	0.5
EP00003P012208	EP00906P012717	Actinomycetota	0.5
EP00003P012208	EP01030P007543	Asgard	0.5
EP00003P012208	EP01030P007543	Actinomycetota	0.5
EP00003P014742	EP01012P066832	Alphaproteobacteria	0.00301
EP00003P014742	EP01012P066832	Gammaproteobacteria	0.051
EP00003P014742	EP01012P066832	Alphaproteobacteria	0.000352
EP00003P014742	EP01012P066832	Gammaproteobacteria	0.0104
EP00003P014742	EP01012P066832	Alphaproteobacteria	0.273
EP00003P014742	EP01012P066832	Alphaproteobacteria	0.0637
EP00003P014742	EP01012P066832	Betaproteobacteria	0.00052
EP00003P014742	EP01012P066832	Gammaproteobacteria	3.94e-07
EP00003P014742	EP01012P066832	Gammaproteobacteria	0.388
EP00003P014742	EP01012P066832	Alphaproteobacteria	0.0789
EP00003P014742	EP01012P066832	Bacillota	0.00416
EP00003P014742	EP01012P066832	Alphaproteobacteria	0.127
EP00003P014805	EP00949P001878	Bacillota	0.0421
EP00003P014805	EP00949P001878	Betaproteobacteria	0.155
EP00003P014805	EP00949P001878	Gammaproteobacteria	0.013
EP00003P014805	EP00949P001878	Gammaproteobacteria	0.00606
EP00003P014805	EP00949P001878	Bacillota	0.0517
EP00003P014805	EP00949P001878	Deinococcota	0.187
EP00003P014805	EP00949P001878	Chloroflexota	0.0363
EP00003P014805	EP00949P001878	FCB group	0.0321
EP00003P014805	EP00949P001878	Thermodesulfobacteriota	0.174
EP00003P014805	EP00949P001878	Bacillota	0.0547
EP00003P014805	EP00949P001878	Campylobacterota	0.0229
EP00003P014805	EP00949P001878	Alphaproteobacteria	0.225
EP00003P014805	YP_874514.1	Bacillota	5.28e-05
EP00003P014805	YP_874514.1	Gammaproteobacteria	0.00562
EP00003P014805	YP_874514.1	Deltaproteobacteria	0.0967
EP00003P014805	YP_874514.1	Chloroflexota	0.0517
EP00003P014805	YP_874514.1	Gammaproteobacteria	0.000209
EP00003P014805	YP_874514.1	Bacillota	0.0355
EP00003P014805	YP_874514.1	Cyanobacteriota	0.487
EP00003P014805	YP_874514.1	Chloroflexota	0.0398
EP00003P014805	YP_874514.1	Thermodesulfobacteriota	0.0997
EP00003P014805	YP_874514.1	Bacillota	0.0217
EP00003P014805	YP_874514.1	Actinomycetota	0.155
EP00003P014805	YP_874514.1	Campylobacterota	0.00743
EP00003P014991	EP00873P030429	Alphaproteobacteria	0.5
EP00003P014991	EP00873P030429	Alphaproteobacteria	0.5
EP00003P015705	EP01037P000442	PVC group	0.00335
EP00003P015705	EP01037P000442	Alphaproteobacteria	1.58e-08
EP00003P015705	EP01037P000442	Chloroflexota	0.0011
EP00003P015705	EP01037P000442	FCB group	0.000117
EP00003P015705	EP01037P000442	Gammaproteobacteria	0.023
EP00003P015705	EP01037P000442	Spirochaetota	1.6e-05
EP00003P015705	EP01037P000442	Thermodesulfobacteriota	0.000585
EP00003P015705	EP01037P000442	Myxococcota	1.64e-06
EP00003P015705	EP01037P000442	Bdellovibrionota	2.52e-06
EP00003P015705	EP01037P000442	Spirochaetota	0.0027
EP00003P015705	EP01037P000442	Gammaproteobacteria	0.143
EP00003P015705	EP01037P000442	Betaproteobacteria	0.826
EP00003P016186	UZV91582_1	Asgard	1.0
EP00003P016917	EP01013P018904	Actinomycetota	0.135
EP00003P016917	EP01013P018904	Bacillota	3.73e-07
EP00003P016917	EP01013P018904	Euryarchaeota	0.865
EP00003P016917	EP01013P018904	Euryarchaeota	0.000427
EP00003P016917	EP01013P018904	Actinomycetota	3.33e-08
EP00003P016917	EP01034P036194	Actinomycetota	0.987
EP00003P016917	EP01034P036194	Bacillota	2.25e-20
EP00003P016917	EP01034P036194	Euryarchaeota	0.0133
EP00003P016917	EP01034P036194	Euryarchaeota	1.48e-14
EP00003P016917	EP01034P036194	Actinomycetota	1.55e-20
EP00003P019422	EP01095P000556	Actinomycetota	0.00157
EP00003P019422	EP01095P000556	Actinomycetota	0.372
EP00003P019422	EP01095P000556	Euryarchaeota	2.68e-20
EP00003P019422	EP01095P000556	Bacillota	2.01e-07
EP00003P019422	EP01095P000556	Actinomycetota	4.32e-08
EP00003P019422	EP01095P000556	Alphaproteobacteria	0.316
EP00003P019422	EP01095P000556	Alphaproteobacteria	0.000999
EP00003P019422	EP01095P000556	Gammaproteobacteria	0.258
EP00003P019422	EP01095P000556	Gammaproteobacteria	0.000385
EP00003P019422	EP01095P000556	Gammaproteobacteria	0.000105
EP00003P019422	EP01095P000556	Actinomycetota	0.0513
EP00003P019422	EP01095P000556	Alphaproteobacteria	0.000384
EP00003P019422	EP01136P016310	Asgard	2.07e-13
EP00003P019422	EP01136P016310	Actinomycetota	0.282
EP00003P019422	EP01136P016310	FCB group	9.01e-18
EP00003P019422	EP01136P016310	Euryarchaeota	2.09e-13
EP00003P019422	EP01136P016310	Bacillota	1.22e-06
EP00003P019422	EP01136P016310	Deinococcota	1.95e-18
EP00003P019422	EP01136P016310	Actinomycetota	6.78e-07
EP00003P019422	EP01136P016310	Alphaproteobacteria	0.128
EP00003P019422	EP01136P016310	Alphaproteobacteria	0.0116
EP00003P019422	EP01136P016310	Actinomycetota	1.68e-14
EP00003P019422	EP01136P016310	Actinomycetota	0.578
EP00003P019422	EP01136P016310	Bacillota	1.95e-18
EP00003P019689	EP01041P031798	Actinomycetota	0.663
EP00003P019689	EP01041P031798	Bacillota	0.337
EP00003P019789	EP01137P021378	Spirochaetota	1.0
EP00003P024711	EP01034P001234	Alphaproteobacteria	0.000231
EP00003P024711	EP01034P001234	Betaproteobacteria	0.99
EP00003P024711	EP01034P001234	Bacillota	1.42e-16
EP00003P024711	EP01034P001234	Alphaproteobacteria	2.01e-75
EP00003P024711	EP01034P001234	Bacillota	5.73e-13
EP00003P024711	EP01034P001234	Actinomycetota	0.000282
EP00003P024711	EP01034P001234	Betaproteobacteria	1.4199999999999999e-69
EP00003P024711	EP01034P001234	Alphaproteobacteria	0.000384
EP00003P024711	EP01034P001234	Actinomycetota	0.00517
EP00003P024711	EP01034P001234	Actinomycetota	0.0043
EP00003P024711	EP01034P001234	Actinomycetota	1.57e-19
EP00003P024711	EP01034P001234	Actinomycetota	1.03e-24
EP00003P026730	EP00729P013700	Bacillota	1.0
EP00003P026730	WP_317152282_1	Bacillota	1.0
EP00003P027679	EP01015P000256	TACK group	0.215
EP00003P027679	EP01015P000256	Actinomycetota	0.0168
EP00003P027679	EP01015P000256	Asgard	0.198
EP00003P027679	EP01015P000256	Asgard	0.134
EP00003P027679	EP01015P000256	DPANN group	0.0879
EP00003P027679	EP01015P000256	Euryarchaeota	0.107
EP00003P027679	EP01015P000256	Thermoplasmata	0.0863
EP00003P027679	EP01015P000256	TACK group	0.156
EP00003P027750	EP01029P021514	Asgard	0.5
EP00003P027750	EP01029P021514	Asgard	0.5
EP00003P028036	EP01136P025920	FCB group	0.02
EP00003P028036	EP01136P025920	Bacillota	0.0844
EP00003P028036	EP01136P025920	Gammaproteobacteria	0.117
EP00003P028036	EP01136P025920	Bacillota	0.131
EP00003P028036	EP01136P025920	Bacillota	0.422
EP00003P028036	EP01136P025920	Mycoplasmatota	0.226
EP00003P030067	EP01035P007676	Gammaproteobacteria	1.0
EP00003P030067	EP00658P026917	Gammaproteobacteria	1.0
EP00003P031057	EP00003P031057	Bacillota	1.0
EP00003P031057	EP01046P025825	Bacillota	1.0
EP00003P032214	EP00937P006145	Actinomycetota	0.196
EP00003P032214	EP00937P006145	Actinomycetota	0.15
EP00003P032214	EP00937P006145	Actinomycetota	0.195
EP00003P032214	EP00937P006145	Actinomycetota	0.0984
EP00003P032214	EP00937P006145	Gammaproteobacteria	7.14e-05
EP00003P032214	EP00937P006145	Alphaproteobacteria	0.0364
EP00003P032214	EP00937P006145	Actinomycetota	0.0029
EP00003P032214	EP00937P006145	Alphaproteobacteria	0.0593
EP00003P032214	EP00937P006145	Betaproteobacteria	4.85e-06
EP00003P032214	EP00937P006145	Actinomycetota	0.137
EP00003P032214	EP00937P006145	Actinomycetota	0.125
EP00003P032214	EP00937P006145	Actinomycetota	5.52e-05
EP00004P000028	EP00004P000029	Betaproteobacteria	0.5
EP00004P000028	EP00004P000029	Asgard	0.5
EP00004P001574	EP01024P047035	Actinomycetota	1.0
EP00004P002245	EP00982P008325	Mycoplasmatota	1.0
EP00004P005682	EP00863P010223	Alphaproteobacteria	1.45e-05
EP00004P005682	EP00863P010223	FCB group	0.000643
EP00004P005682	EP00863P010223	Actinomycetota	0.0153
EP00004P005682	EP00863P010223	Actinomycetota	0.17
EP00004P005682	EP00863P010223	PVC group	0.000111
EP00004P005682	EP00863P010223	FCB group	0.000783
EP00004P005682	EP00863P010223	Actinomycetota	0.433
EP00004P005682	EP00863P010223	Deinococcota	8.77e-05
EP00004P005682	EP00863P010223	Bacillota	0.348
EP00004P005682	EP00863P010223	Bacillota	0.0318
EP00004P006064	EP00998P009627	TACK group	1.0
EP00004P006779	EP00027P009412	FCB group	0.0325
EP00004P006779	EP00027P009412	Alphaproteobacteria	0.299
EP00004P006779	EP00027P009412	Deinococcota	0.116
EP00004P006779	EP00027P009412	Alphaproteobacteria	9.93e-05
EP00004P006779	EP00027P009412	FCB group	0.0106
EP00004P006779	EP00027P009412	Gammaproteobacteria	0.156
EP00004P006779	EP00027P009412	Alphaproteobacteria	9.9e-05
EP00004P006779	EP00027P009412	Gammaproteobacteria	0.324
EP00004P006779	EP00027P009412	Gammaproteobacteria	0.000101
EP00004P006779	EP00027P009412	Alphaproteobacteria	6.45e-06
EP00004P006779	EP00027P009412	Gammaproteobacteria	6.44e-06
EP00004P006779	EP00027P009412	Actinomycetota	0.062
EP00004P015398	EP00533P001451	PVC group	4.87e-13
EP00004P015398	EP00533P001451	Asgard	1.76e-05
EP00004P015398	EP00533P001451	Alphaproteobacteria	7.71e-15
EP00004P015398	EP00533P001451	Gammaproteobacteria	3.1e-27
EP00004P015398	EP00533P001451	Bacillota	0.0307
EP00004P015398	EP00533P001451	Bacillota	0.968
EP00004P015398	EP00533P001451	Bdellovibrionota	0.000665
EP00004P015398	EP00533P001451	Thermodesulfobacteriota	1.49e-09
EP00004P015398	EP00533P001451	Alphaproteobacteria	0.000942
EP00004P015398	EP00533P001451	Gammaproteobacteria	2.17e-05
EP00004P015398	EP00533P001451	Actinomycetota	9.13e-19
EP00004P015398	EP00533P001451	Actinomycetota	3.1e-27
EP00004P015398	EP00681P001788	PVC group	0.00316
EP00004P015398	EP00681P001788	Asgard	0.381
EP00004P015398	EP00681P001788	Alphaproteobacteria	1.76e-05
EP00004P015398	EP00681P001788	Bacillota	0.277
EP00004P015398	EP00681P001788	Bacillota	0.205
EP00004P015398	EP00681P001788	Bdellovibrionota	0.0408
EP00004P015398	EP00681P001788	Thermodesulfobacteriota	0.00432
