tree,n_asg,n_bact,n_arch,n_euk,asg_mono,n_sub,allasg_sister,has_bact
EP01126P065772,5,0,0,27,True,1,NA,False
EP01108P002613,9,18,0,30,False,1,NA,True
EP00878P019011,2,1,0,17,False,1,NA,True
EP00582P016228,40,0,0,29,False,1,NA,False
EP00054P011048,9,0,0,25,True,1,NA,False
EP00122P011301,13,0,0,30,False,1,NA,False
EP00063P023897,18,0,34,16,False,1,NA,False
EP00928P073326,9,3,0,14,False,1,NA,True
EP00563P017922,5,17,2,30,False,1,NA,True
EP01035P042930,5,25,0,12,False,1,NA,True
EP00771P004067,15,0,0,30,True,1,NA,False
EP00294P014951,8,0,0,11,True,1,NA,False
EP00667P011674,23,0,0,30,True,1,NA,False
EP00020P002871,16,0,0,14,False,1,NA,False
EP00210P000224,1,21,0,24,True,1,NA,True
EP00414P003148,6,0,1,30,False,1,NA,False
EP00429P079877,24,1,0,14,False,1,NA,True
EP00108P006682,4,10,0,15,True,1,NA,True
EP00811P032999,3,0,0,12,True,1,NA,False
EP01024P047112,2,14,0,30,True,1,NA,True
EP00009P013978,7,0,0,18,True,1,NA,False
EP00418P039434,7,0,0,21,False,1,NA,False
EP00425P007812,13,0,0,29,False,1,NA,False
EP00832P010877,20,0,0,10,False,1,NA,False
EP00563P008363,12,21,0,30,False,1,NA,True
EP01136P018718,7,38,1,19,False,1,NA,True
EP00488P002911,5,0,0,24,False,1,NA,False
EP01050P049630,9,0,0,30,True,1,NA,False
EP01107P015772,7,0,0,20,True,1,NA,False
EP00862P005050,4,0,0,10,True,1,NA,False
EP00797P031565,30,0,0,30,True,1,NA,False
EP01132P010126,20,0,0,10,False,1,NA,False
EP00027P018152,3,67,0,30,False,1,NA,True
EP00479P001843,3,0,0,10,True,1,NA,False
EP00925P003016,11,0,0,12,True,1,NA,False
EP00856P004464,3,0,0,23,True,1,NA,False
EP01121P003177,9,1,1,18,False,1,NA,True
EP01137P032649,3,0,0,30,True,1,NA,False
EP00855P000272,34,0,0,30,True,1,NA,False
EP00806P002252,46,0,0,15,True,1,NA,False
EP00388P016081,1,4,0,19,True,1,NA,True
EP00029P005228,36,0,0,15,True,1,NA,False
EP01104P012130,13,0,0,19,True,1,NA,False
EP00053P013212,44,0,0,10,False,1,NA,False
EP00002P001325,1,3,0,19,True,1,NA,True
EP00147P009908,4,65,0,19,False,1,NA,True
EP00845P007997,51,0,0,30,True,1,NA,False
EP01016P037565,29,0,0,25,True,1,NA,False
EP00801P013647,5,0,0,14,True,1,NA,False
EP00003P032214,51,0,0,30,False,1,NA,False
EP00908P002934,4,2,0,20,True,1,NA,True
EP00530P001161,10,50,9,30,False,1,NA,True
EP01062P062136,4,62,4,14,False,1,NA,True
EP00700P003448,5,0,0,20,True,1,NA,False
EP00193P020710,5,0,0,25,False,1,NA,False
EP00851P008940,5,65,0,30,False,1,NA,True
EP00943P008032,49,0,0,10,False,1,NA,False
EP00076P017092,5,63,2,19,False,1,NA,True
EP01012P019590,6,0,0,20,True,1,NA,False
EP00549P018771,7,0,0,8,False,1,NA,False
EP00518P005390,5,1,0,25,True,1,NA,True
EP00906P012576,5,0,0,19,True,1,NA,False
EP00162P018279,32,0,0,25,False,1,NA,False
EP00474P006695,5,0,0,14,True,1,NA,False
EP00471P003730,10,6,0,30,False,1,NA,True
EP01041P014026,16,0,0,24,False,1,NA,False
EP00465P011667,49,0,0,28,True,1,NA,False
EP00191P024343,7,0,0,30,False,1,NA,False
EP00429P042211,27,0,0,16,False,1,NA,False
EP00211P015980,13,48,0,30,False,1,NA,True
EP00310P016269,18,0,0,30,True,1,NA,False
EP00240P002233,28,0,0,30,True,1,NA,False
EP00656P053092,3,34,0,17,False,1,NA,True
EP00306P000390,5,0,0,10,True,1,NA,False
EP00562P034952,4,66,0,16,False,1,NA,True
EP00401P077653,11,0,0,29,False,1,NA,False
EP00296P009747,6,0,0,30,False,1,NA,False
EP00628P026593,42,0,0,29,True,1,NA,False
EP01097P010560,5,37,0,10,False,1,NA,True
EP01126P039870,5,0,0,14,False,1,NA,False
EP01026P003497,5,1,0,30,True,1,NA,True
EP01060P038583,6,0,0,10,True,1,NA,False
EP00762P002282,3,0,0,22,True,1,NA,False
EP00953P029822,5,0,0,27,True,1,NA,False
EP00284P002590,5,0,0,19,True,1,NA,False
EP00010P006692,25,0,25,30,False,1,NA,False
EP00605P000993,5,0,0,11,True,1,NA,False
EP00193P021999,5,46,2,17,False,1,NA,True
EP00314P023902,3,0,0,30,True,1,NA,False
EP01043P081523,12,0,0,20,True,1,NA,False
EP00206P009517,5,52,12,30,False,1,NA,True
EP01114P014429,13,0,23,12,True,1,NA,False
EP00595P003362,35,24,0,30,False,1,NA,True
EP01087P001491,7,0,0,20,True,1,NA,False
EP00828P036699,16,0,0,17,False,1,NA,False
EP01047P008920,42,0,0,30,True,1,NA,False
EP00294P004889,7,0,0,16,True,1,NA,False
EP00825P000254,14,1,1,18,False,1,NA,True
EP00421P026180,20,47,3,30,False,1,NA,True
KAA6398899.1,34,0,0,30,False,1,NA,False
EP00276P001792,46,0,0,30,False,1,NA,False
EP01126P054569,3,0,0,10,True,1,NA,False
EP01046P019073,5,0,0,13,True,1,NA,False
EP00759P017155,19,0,0,14,False,1,NA,False
EP00561P004440,40,0,0,30,False,1,NA,False
EP00440P067488,7,0,0,18,True,1,NA,False
EP00770P014281,3,0,0,16,True,1,NA,False
EP01022P023553,20,6,0,30,False,1,NA,True
EP00598P014927,13,0,0,12,False,1,NA,False
EP00759P026769,3,18,32,28,False,1,NA,True
EP00921P013786,3,0,0,22,True,1,NA,False
EP00897P008995,31,0,0,28,True,1,NA,False
EP00794P011905,13,0,0,18,True,1,NA,False
EP00504P003481,5,0,0,16,True,1,NA,False
EP00327P028452,25,3,0,12,True,1,NA,True
EP00831P010497,15,0,0,10,False,1,NA,False
EP00295P010470,12,2,0,28,False,1,NA,True
EP01024P065278,10,0,0,25,True,1,NA,False
EP00743P007988,3,0,0,8,True,1,NA,False
EP00472P004192,44,8,0,30,False,1,NA,True
EP00033P006762,9,0,0,27,True,1,NA,False
EP00914P027770,8,0,0,30,False,1,NA,False
EP00164P010883,15,0,0,20,True,1,NA,False
EP00290P036605,16,48,0,14,True,1,NA,True
EP00480P001781,29,0,0,10,False,1,NA,False
EP01032P029339,28,0,0,24,True,1,NA,False
EP01083P134529,3,0,0,20,True,1,NA,False
EP01117P016351,24,0,0,26,True,1,NA,False
EP00361P004373,12,0,0,30,True,1,NA,False
EP01019P002629,5,0,1,14,False,1,NA,False
EP01097P009538,31,0,0,10,True,1,NA,False
EP00299P013190,6,62,2,30,False,1,NA,True
EP00339P024215,9,0,0,15,True,1,NA,False
EP00444P017100,31,2,0,30,False,1,NA,True
EP00846P000087,6,0,0,11,True,1,NA,False
EP00817P006970,5,0,0,14,False,1,NA,False
EP01127P008291,18,0,33,11,False,1,NA,False
EP00824P000685,8,0,0,18,True,1,NA,False
EP00860P001988,7,20,0,30,False,1,NA,True
EP00930P076373,4,62,4,8,False,1,NA,True
EP00163P009323,5,0,0,24,True,1,NA,False
EP00964P061560,11,8,0,3,False,1,NA,True
EP00262P009545,5,0,0,17,True,1,NA,False
EP00656P006707,45,0,0,30,False,1,NA,False
EP01030P000698,6,0,0,18,True,1,NA,False
EP00906P034780,3,0,0,25,True,1,NA,False
EP00768P001726,5,1,0,19,False,1,NA,True
EP00694P007520,6,0,0,23,True,1,NA,False
EP00961P095483,19,0,0,23,False,1,NA,False
EP00009P007871,14,0,0,14,True,1,NA,False
EP00742P012299,4,0,0,13,True,1,NA,False
EP00021P000034,7,57,0,19,False,1,NA,True
EP00260P007506,23,0,0,20,True,1,NA,False
EP00519P006730,14,0,0,30,True,1,NA,False
EP00296P008967,14,0,0,30,False,1,NA,False
EP01130P010075,45,0,0,30,False,1,NA,False
EP00439P023595,33,0,0,19,False,1,NA,False
EP00160P007051,13,0,0,30,False,1,NA,False
EP01155P053680,8,0,0,28,True,1,NA,False
EP00039P009098,9,0,0,14,False,1,NA,False
EP00916P008965,20,3,0,28,False,1,NA,True
EP00526P016920,60,5,0,14,False,1,NA,True
EP00750P003731,9,0,0,11,True,1,NA,False
EP00755P005436,43,0,0,30,True,1,NA,False
EP01090P003725,5,0,0,30,True,1,NA,False
EP01063P039668,2,68,0,30,False,1,NA,True
EP00444P073393,9,54,7,30,False,1,NA,True
EP01146P007322,4,60,4,30,False,1,NA,True
EP00451P014637,1,7,0,15,True,1,NA,True
EP01123P011908,1,10,0,14,True,1,NA,True
EP00755P015375,1,7,0,24,True,1,NA,True
EP00406P077424,20,0,0,18,True,1,NA,False
EP00927P069151,50,3,0,30,False,1,NA,True
EP00405P016661,1,7,0,15,True,1,NA,True
EP00290P012548,10,20,0,17,False,1,NA,True
EP00964P122000,3,0,0,21,True,1,NA,False
EP00579P024668,20,0,0,14,True,1,NA,False
EP00216P002569,8,53,9,30,False,1,NA,True
EP00405P032879,15,0,0,14,True,1,NA,False
EP00804P023870,4,50,0,14,False,1,NA,True
EP01041P025577,5,0,0,30,True,1,NA,False
OLQ02660.1,17,0,0,30,True,1,NA,False
EP00429P088653,3,0,0,24,True,1,NA,False
EP00267P003460,51,0,0,12,False,1,NA,False
EP00434P037668,8,0,0,12,True,1,NA,False
EP00042P028002,25,0,27,16,False,1,NA,False
EP00966P306755,16,0,0,15,False,1,NA,False
EP00746P014083,11,0,0,23,True,1,NA,False
EP00408P061384,8,0,0,30,False,1,NA,False
EP00588P031551,4,0,1,30,False,1,NA,False
EP00521P012097,16,30,0,30,False,1,NA,True
EP00597P000860,36,0,0,29,False,1,NA,False
EP00697P016851,5,0,0,23,True,1,NA,False
EP00201P001686,3,63,4,12,False,1,NA,True
EP00775P001450,2,8,0,29,False,1,NA,True
XP_030855565.1,14,52,3,11,False,1,NA,True
EP00592P027428,5,1,1,30,False,1,NA,True
EP01116P008999,11,1,0,21,False,1,NA,True
EP01002P001399,11,0,0,27,True,1,NA,False
EP01127P019662,20,47,3,30,False,1,NA,True
EP00299P010577,31,0,0,19,True,1,NA,False
EP00472P009158,3,0,0,15,True,1,NA,False
EP00745P008066,17,2,0,30,False,1,NA,True
EP00258P045058,5,0,0,13,False,1,NA,False
EP00300P019633,5,0,0,20,False,1,NA,False
EP00058P004891,3,0,0,13,True,1,NA,False
EP00045P006422,7,1,0,30,True,1,NA,True
EP01102P004301,5,1,0,12,True,1,NA,True
EP01126P037762,27,0,0,13,False,1,NA,False
EP00829P015203,6,0,0,21,True,1,NA,False
EP00731P014197,9,0,0,25,True,1,NA,False
EP01137P036748,3,0,0,23,True,1,NA,False
EP00266P030338,6,20,0,30,False,1,NA,True
EP00217P010601,20,0,0,30,False,1,NA,False
EP00798P017294,24,0,0,16,False,1,NA,False
EP00471P007219,32,28,0,22,False,1,NA,True
EP00003P027750,22,0,0,10,False,1,NA,False
EP00747P041901,5,0,0,19,True,1,NA,False
EP00255P002858,26,0,0,3,False,1,NA,False
EP00250P017730,5,30,0,26,False,1,NA,True
EP00998P012766,15,0,0,19,True,1,NA,False
EP01012P066547,7,0,0,30,True,1,NA,False
XP_002782664.1,5,0,0,21,True,1,NA,False
EP00404P009620,11,0,8,30,False,1,NA,False
EP01025P053936,39,0,0,10,False,1,NA,False
EP00611P014643,10,0,0,13,False,1,NA,False
EP00389P011356,10,0,0,11,False,1,NA,False
EP01083P168131,21,0,0,29,False,1,NA,False
EP00440P056740,34,14,0,30,False,1,NA,True
EP01106P011472,3,0,0,30,True,1,NA,False
EP00996P005668,36,0,0,29,True,1,NA,False
EP00979P012202,59,8,0,12,False,1,NA,True
EP00012P012370,47,0,0,30,False,1,NA,False
EP00658P077599,15,0,0,30,True,1,NA,False
EP00440P009600,3,0,0,11,True,1,NA,False
EP00427P059525,9,33,0,11,False,1,NA,True
EP01041P027656,34,11,0,13,False,1,NA,True
EP00028P013264,23,0,0,17,False,1,NA,False
EP00088P050051,5,0,0,18,True,1,NA,False
EP00252P020659,3,49,0,30,False,1,NA,True
EP00680P011048,22,48,0,21,False,1,NA,True
EP01050P006368,1,8,0,23,True,1,NA,True
EP00192P011019,11,12,0,22,False,1,NA,True
EP00443P045084,11,0,0,10,True,1,NA,False
EP00708P005091,5,0,0,16,True,1,NA,False
PTQ50111.1,14,0,23,16,False,1,NA,False
EP00592P020786,49,0,0,19,False,1,NA,False
EP00659P007029,5,1,0,23,False,1,NA,True
EP00480P021192,5,0,0,24,False,1,NA,False
EP00521P010272,14,0,0,16,True,1,NA,False
EP00223P004719,10,0,25,30,False,1,NA,False
EP00630P007160,59,8,0,22,False,1,NA,True
EP00227P005380,20,34,16,20,False,1,NA,True
EP00450P006019,6,0,0,14,True,1,NA,False
EP00036P007099,4,0,1,10,False,1,NA,False
EP00648P010807,6,0,0,24,False,1,NA,False
EP00042P041710,10,8,0,11,False,1,NA,True
EP00004P015534,7,2,0,10,False,1,NA,True
EP00859P000393,8,56,6,30,False,1,NA,True
EP01083P023452,5,0,0,27,True,1,NA,False
EP00551P011515,1,69,0,13,True,1,NA,True
EP00625P009624,3,0,0,30,True,1,NA,False
EP00850P023796,10,33,0,15,False,1,NA,True
EP00325P033358,14,0,0,13,True,1,NA,False
EP00840P005984,6,0,0,13,True,1,NA,False
EP00246P018339,6,0,0,12,False,1,NA,False
EP00343P003511,5,0,0,30,False,1,NA,False
EP00994P005439,6,0,0,30,True,1,NA,False
EP00004P024682,30,34,0,24,False,1,NA,True
EP00741P003422,3,0,0,12,True,1,NA,False
EP00035P001068,20,0,0,30,True,1,NA,False
EP00293P016214,1,37,0,29,True,1,NA,True
EP01024P064339,13,0,0,17,True,1,NA,False
EP01083P203998,9,3,0,30,False,1,NA,True
EP01037P014010,1,18,0,30,True,1,NA,True
EP00163P019452,19,0,0,30,True,1,NA,False
EP01090P021636,5,0,0,11,True,1,NA,False
EP01052P029972,1,3,0,30,True,1,NA,True
EP01127P015678,3,0,0,12,True,1,NA,False
EP00301P021508,36,0,0,30,False,1,NA,False
EP00949P004126,31,30,0,30,False,1,NA,True
EP00404P058676,39,0,0,6,False,1,NA,False
EP00596P002367,11,0,0,12,True,1,NA,False
EP01121P009594,13,0,0,19,True,1,NA,False
EP00613P002638,3,0,0,20,True,1,NA,False
EP01155P045412,16,0,0,30,False,1,NA,False
EP01035P035536,2,68,0,30,False,1,NA,True
EP00975P063796,33,3,0,30,False,1,NA,True
EP00156P001242,5,0,0,23,False,1,NA,False
EP00038P023597,13,0,0,16,True,1,NA,False
EP01031P045245,24,0,0,11,False,1,NA,False
EP00008P008705,1,7,0,20,True,1,NA,True
EP00212P005619,3,0,0,13,True,1,NA,False
EP00262P017102,47,0,0,13,False,1,NA,False
EP00753P007815,10,1,0,19,True,1,NA,True
EP01124P035159,13,7,1,10,False,1,NA,True
EP00700P001091,6,0,0,30,True,1,NA,False
EP01035P000467,13,57,0,29,False,1,NA,True
EP01032P017151,19,0,0,19,True,1,NA,False
EP01057P002320,3,0,0,24,True,1,NA,False
EP01112P019943,23,0,0,12,True,1,NA,False
EP00600P014689,47,0,0,30,False,1,NA,False
EP00998P012283,10,54,6,30,False,1,NA,True
EP01091P004621,15,52,3,30,False,1,NA,True
EP01116P018905,11,0,0,30,True,1,NA,False
EP00897P000453,7,0,0,23,True,1,NA,False
EP00435P072186,13,0,0,30,True,1,NA,False
EP00825P022000,29,0,0,30,False,1,NA,False
EP00442P002583,18,0,0,14,False,1,NA,False
EP01126P061620,3,0,0,30,True,1,NA,False
EP01104P002610,5,0,0,20,False,1,NA,False
EP00940P001268,9,0,0,15,True,1,NA,False
EP00931P082132,6,0,0,15,True,1,NA,False
SLM39425.1,14,0,0,21,False,1,NA,False
EP00880P004113,27,0,0,20,False,1,NA,False
EP00919P027414,7,0,0,10,True,1,NA,False
EP00231P009471,4,62,4,20,False,1,NA,True
EP00442P055563,44,0,0,29,False,1,NA,False
EP01092P003911,7,0,0,30,False,1,NA,False
EP00746P138260,61,0,0,22,False,1,NA,False
EP00591P008793,1,3,0,10,True,1,NA,True
EP00060P039625,6,1,0,30,False,1,NA,True
EP00587P006758,6,0,0,28,False,1,NA,False
EP01064P009928,61,0,0,25,True,1,NA,False
XP_009027883.1,18,7,1,15,False,1,NA,True
EP00330P010540,1,7,0,22,True,1,NA,True
EP00746P118960,5,0,0,30,True,1,NA,False
EP00019P009455,5,0,0,21,True,1,NA,False
EP00906P007672,21,0,0,13,False,1,NA,False
EP00746P065076,3,0,0,25,True,1,NA,False
EP01118P000209,1,5,0,25,True,1,NA,True
EP00130P003981,11,0,0,12,True,1,NA,False
EP00873P008980,7,1,0,27,False,1,NA,True
EP01036P045617,13,0,0,23,True,1,NA,False
EP00522P001398,6,0,0,30,True,1,NA,False
EP00914P004190,5,0,0,27,True,1,NA,False
EP00658P084005,32,7,1,15,False,1,NA,True
EP00480P026871,28,0,0,27,True,1,NA,False
EP01064P033305,9,0,0,30,True,1,NA,False
EP00747P020610,4,44,0,30,False,1,NA,True
XP_020049442.1,10,1,0,30,False,1,NA,True
EP00698P001415,5,0,0,30,True,1,NA,False
EP00513P009199,36,0,0,10,True,1,NA,False
EP00189P004281,13,49,0,26,False,1,NA,True
EP00834P006098,31,0,0,12,False,1,NA,False
EP01038P011951,16,0,0,20,True,1,NA,False
EP00455P015641,66,0,0,15,False,1,NA,False
EP01006P004499,1,3,0,30,True,1,NA,True
EP00040P008279,3,0,0,20,True,1,NA,False
EP01038P019188,16,0,0,18,True,1,NA,False
EP00831P064816,16,31,23,26,False,1,NA,True
EP01094P017064,8,7,1,10,False,1,NA,True
EP00434P014436,34,0,13,10,False,1,NA,False
XP_015623548.1,1,7,0,30,True,1,NA,True
EP00245P008577,1,8,0,30,True,1,NA,True
EP00300P006740,28,0,0,17,True,1,NA,False
EP00050P012951,10,0,1,30,False,1,NA,False
EP01096P015086,5,0,0,12,True,1,NA,False
EP00600P004979,16,0,0,19,False,1,NA,False
EP00438P017872,65,5,0,22,False,1,NA,True
EP00878P001909,3,0,0,29,True,1,NA,False
EP00285P018604,15,0,0,30,False,1,NA,False
EP00171P010379,14,0,0,12,False,1,NA,False
EP00428P079596,6,64,0,18,False,1,NA,True
EP00850P001854,4,0,1,12,False,1,NA,False
EP01037P026313,15,0,0,30,False,1,NA,False
EP00348P009222,3,0,0,29,True,1,NA,False
EP01117P020721,35,0,0,13,False,1,NA,False
EP00244P006507,45,0,0,28,True,1,NA,False
EP00056P001646,47,0,0,11,False,1,NA,False
EP00164P019753,3,0,0,28,True,1,NA,False
EP00878P046206,9,0,0,30,False,1,NA,False
EP00421P003646,16,0,0,28,False,1,NA,False
EP01036P028186,19,0,0,28,True,1,NA,False
EP00003P025565,60,7,0,12,False,1,NA,True
EP00732P001238,7,63,0,11,False,1,NA,True
EP01104P018600,5,0,0,14,True,1,NA,False
EP00843P018334,3,0,0,30,True,1,NA,False
EP01094P029642,5,0,0,17,True,1,NA,False
EP00916P004843,5,0,0,14,True,1,NA,False
EP00817P005740,64,0,0,30,False,1,NA,False
EP01118P018880,7,0,0,10,True,1,NA,False
EP01091P016034,23,0,0,30,False,1,NA,False
EP00457P007127,6,2,32,13,False,1,NA,True
EP01116P005800,14,52,3,15,False,1,NA,True
EP00924P000039,5,65,0,18,False,1,NA,True
EP00850P000500,1,69,0,12,True,1,NA,True
EP00690P002876,5,0,0,13,True,1,NA,False
EP01006P016485,5,0,0,10,True,1,NA,False
EP01032P038746,24,0,0,27,True,1,NA,False
EP01089P017750,22,1,1,30,False,1,NA,True
EP00290P031510,3,0,0,16,True,1,NA,False
EP01118P012323,3,0,0,25,True,1,NA,False
EP01118P014017,18,0,34,24,False,1,NA,False
EP00298P025159,11,0,0,19,True,1,NA,False
EP00237P008657,50,4,0,30,False,1,NA,True
EP00416P002884,6,0,0,25,True,1,NA,False
EP00679P008712,10,29,0,14,False,1,NA,True
EP00418P021332,13,54,3,27,False,1,NA,True
EP00301P022800,3,0,29,30,True,1,NA,False
EP00741P021804,9,18,0,18,False,1,NA,True
EP00825P033942,55,3,0,29,False,1,NA,True
EP01120P011625,6,28,0,30,False,1,NA,True
EP01089P015260,13,0,0,16,True,1,NA,False
EP00918P047626,4,0,24,23,False,1,NA,False
EP01048P006567,40,3,0,11,False,1,NA,True
EP01027P027425,3,0,0,30,True,1,NA,False
EP00904P013886,6,0,0,16,True,1,NA,False
EP01035P066155,5,17,0,30,False,1,NA,True
EP00945P008909,30,0,0,10,True,1,NA,False
EP00408P068519,37,0,0,18,True,1,NA,False
EP00156P002510,3,0,0,22,True,1,NA,False
EP01136P010912,6,63,0,12,False,1,NA,True
EP00440P021257,1,13,0,30,True,1,NA,True
EP00608P008386,22,0,0,15,False,1,NA,False
EP00504P001136,45,0,0,28,False,1,NA,False
EP01137P021310,1,6,0,14,True,1,NA,True
EP00069P016333,3,0,0,30,True,1,NA,False
EP00003P000893,1,20,0,30,True,1,NA,True
EP00958P000170,3,0,0,20,True,1,NA,False
EP00698P015388,22,45,0,29,False,1,NA,True
EP00658P020025,41,0,0,10,False,1,NA,False
EP00760P007313,31,0,0,30,True,1,NA,False
EP00891P006539,9,1,0,10,False,1,NA,True
EP01115P001134,66,0,1,12,False,1,NA,False
EP00771P001974,9,38,0,30,False,1,NA,True
EP01101P011241,32,0,0,11,False,1,NA,False
EP00882P005981,8,0,0,30,True,1,NA,False
EP00343P002866,1,3,0,13,True,1,NA,True
EP01116P004834,13,0,0,30,True,1,NA,False
EP00043P007439,5,0,0,18,True,1,NA,False
EP00942P015368,13,0,0,30,False,1,NA,False
EP00797P015959,7,4,0,16,False,1,NA,True
EP01136P000143,3,11,0,30,False,1,NA,True
EP01029P011616,6,1,0,11,True,1,NA,True
EP00123P010509,1,0,9,30,True,1,NA,False
EP00323P011629,18,0,0,30,False,1,NA,False
EP00362P001061,2,0,16,21,False,1,NA,False
EP00613P000233,26,0,0,25,False,1,NA,False
EP00449P011992,3,0,0,30,True,1,NA,False
EP00013P025877,16,54,0,30,False,1,NA,True
EP00276P008869,20,0,0,24,False,1,NA,False
EP00494P000252,44,0,0,30,False,1,NA,False
EP00191P021050,5,0,0,18,True,1,NA,False
EP00456P056395,47,0,0,18,False,1,NA,False
EP00795P002831,6,37,2,10,False,1,NA,True
EP01088P014257,3,0,0,25,True,1,NA,False
EP00462P009795,3,0,29,30,False,1,NA,False
EP00540P005694,7,0,0,12,False,1,NA,False
EP00126P002343,6,41,0,17,False,1,NA,True
EP01033P015261,1,14,0,30,True,1,NA,True
EP00769P001957,10,0,0,14,True,1,NA,False
EP00316P020225,18,1,0,25,False,1,NA,True
EP00753P014966,36,0,0,13,False,1,NA,False
EP00732P002800,5,4,0,18,True,1,NA,True
EP00164P021126,7,0,0,14,True,1,NA,False
EP01104P014502,1,8,0,27,True,1,NA,True
EP01084P215437,5,0,0,27,True,1,NA,False
EP00889P005128,3,9,0,19,False,1,NA,True
EP00001P000983,4,66,0,15,False,1,NA,True
EP00005P002764,9,31,5,11,False,1,NA,True
EP01012P031975,9,0,0,15,False,1,NA,False
EP00440P017750,4,61,3,30,False,1,NA,True
EP00246P010007,58,0,0,11,True,1,NA,False
EP01035P014889,6,0,0,13,False,1,NA,False
EP00265P014306,3,9,0,13,False,1,NA,True
EP01084P168312,34,0,0,29,False,1,NA,False
EP00035P020890,26,24,0,23,True,1,NA,True
